year4,totpuf,group
1996,39,pre
1997,48.5,pre
1998,38,pre
1999,54,pre
2000,57,pre
2001,65,pre
2002,63.5,pre
2003,54,pre
2004,57.5,pre
2005,45,pre
2006,69,pre
2007,43.5,pre
2008,39,post
2009,33,post
2010,36.5,post
2011,27,post
2012,27,post
2013,50,post
2014,40,post
2015,30,post
2016,35.5,post
2017,58.5,post
2018,47,post
2019,42.5,post
2021,30,post
2022,29.5,post
2023,30,post
